"keep","Species","ID","site","acc","Species.no.ssp","code","new.code","family","group","nat.inv","appendage type","appendage","disp.cat.all","disp.cat.nat","morph.mass.mg","chem.mass.mg","set.time.mpsec","prop.C","prop.N","height.cm","shape","size.mm","width","coat.perm.perc","E.S","coat.thick","fruit.thick","both.thick","coat.thick.per.width","wing.loading","ldd.all","ldd.natural","mucilage","fleshy.end","starchy.end","smooth.coarse","AI","oil.prop.kew","prot.prop.kew","carb.prop.kew"
"keep","Collinsia parviflora","CBG-21674","CBG","CBG","Collinsia parviflora","COLPAR","COLPAR","Plantaginaceae","forb","native","no appendage","none","unassisted","unassisted",11.2174,11.2174,254.76065302,0.465304251180884,0.01707696582384,30.48,0.056641752,2.14925675,0.90844872,87.7826063144012,0.827500090717752,0.03,0,0.03,0.0330233279430456,1.50122037892144,2,2,0,1,0,1,0.3429,0.13,0.15,0.72
"combine","Collinsia sparsiflora","MCL-EE-15","MCL","MCL-EE","Collinsia sparsiflora","COLSPA","COLSPA","Plantaginaceae","forb","native","flat appendage","wing","unassisted","unassisted",NA,NA,NA,0.41385667484337,0.020105040856442,12.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,0,NA,NA,NA,NA
"combine","Collinsia sparsiflora","MCL-ML-35","MCL","MCL-ML","Collinsia sparsiflora","COLSPA","COLSPA","Plantaginaceae","forb","native","flat appendage","wing","unassisted","unassisted",11.0514,11.0514,190.24698882,NA,NA,12.73,0.045430203,2.5237149,1.20978782,114.167777642975,0.830603980271187,0.0318,0,0.0318,0.0262856010568862,1.02431973857852,1,1,0,0,0,0,0.5647,NA,NA,NA
"keep","Convolvulus equitans","GRIN-W6-30101","GRIN","GRIN","Convolvulus equitans","CONEQU","CONEQU","Convolvulaceae","forb","native","no appendage","none","animal","animal",174.41,174.41,248.99780632,0.431641602956946,0.0201658076843037,60.96,0.015685557,3.8863876,2.8538584,3.18425611724703,0.85153279818769,0.0486,0,0.0486,0.0170295765199843,5.28562824678527,6,6,0,0,0,1,0.2252,NA,NA,NA
"keep","Cordylanthus nevinii","CBG-25587","CBG","CBG","Cordylanthus nevinii","CORNEV","CORNEV","Orobanchaceae","forb","native","no appendage","none","unassisted","unassisted",5.6209,5.6209,201.93165232,0.580182767624021,0.0446083550913838,50,0.070469221,1.9719984,0.71346458,42.1716238633159,0.899988573318858,0.025,0,0.025,0.0350402818875746,1.12000478791138,2,2,0,1,0,1,0.4025,NA,NA,NA
"keep","Cordylanthus rigidus ssp. setiger","CBG-25618","CBG","CBG","Cordylanthus rigidus ssp. setiger","CORRIGS","CORRIG","Orobanchaceae","forb","native","no appendage","none","unassisted","unassisted",5.2593,5.2593,210.05169044,0.517138294474609,0.0372245289045034,60.96,0.05539944,1.78366145,0.76664206,40.492213438267,0.885066664424083,0.0398,0,0.0398,0.0519147097147266,1.10676484183374,2,2,0,1,0,1,0.4332,NA,NA,NA
"keep","Cryptantha angustifolia","CBG-25341","CBG","CBG","Cryptantha angustifolia","CRYANG","CRYANG","Boraginaceae","forb","native","no appendage","none","adhesive","adhesive",0.7094,0.7094,139.2577786,0.504269699967029,0.0416452357401912,12.5,0.046236452,1.01037228,0.5495007,67.5591874161081,1,0.0058,0.0062,0.012,0.0218380067577712,0.461709976416214,6,6,0,1,0,1,0.0306,NA,NA,NA
"keep","Cryptantha barbigera","DW-08","DW","DW","Cryptantha barbigera","CRYBAR","CRYBAR","Boraginaceae","forb","native","no appendage","none","adhesive","adhesive",5.3541,5.3541,223.17853012,0.441959334565619,0.0236260012322859,28,0.06351126,2.0850008,0.84197684,59.5097049904387,1,0.0194,0.0232,0.0426,0.0505952158969123,0.980445868640704,6,6,0,0,0,1,0.0692,NA,NA,NA
"keep","Cryptantha costata","CBG-23536","CBG","CBG","Cryptantha costata","CRYCOS","CRYCOS","Boraginaceae","forb","native","no appendage","none","adhesive","adhesive",1.96,1.96,188.2220383,0.527286864759789,0.043848930852541,15,0.06822697,1.3892618,0.53177485,25.9260747869783,1,0.0152,0.0166,0.0318,0.0597997441962515,0.788867006505207,6,6,0,1,0,0,0.0258,NA,NA,NA
"keep","Cryptantha intermedia","CBG-21063","CBG","CBG","Cryptantha intermedia","CRYINT","CRYINT","Boraginaceae","forb","native","no appendage","none","adhesive","adhesive",3.1454,3.1454,195.1520396,0.428342704942291,0.0414382953536549,35,0.057492596,1.7947402,0.88185996,38.6578753049849,1,0.0122,0.0202,0.0324,0.0367405273735299,0.779950304960718,6,6,0,NA,NA,1,0.1294,NA,NA,NA
"keep","Cryptantha micrantha","CBG-19947","CBG","CBG","Cryptantha micrantha","CRYMIC","CRYMIC","Boraginaceae","forb","native","no appendage","none","adhesive","adhesive",0.8444,0.8444,136.86758622,0.516516369902355,0.0424755887421022,6.5,0.041048221,1.04139226,0.59381525,29.65116752177,1,0.0094,0.016,0.0254,0.0427742467038359,0.478827174192926,6,6,0,NA,NA,1,0.0374,NA,NA,NA
"keep","Cryptantha muricata","CBG-19168","CBG","CBG","Cryptantha muricata","CRYMUR","CRYMUR","Boraginaceae","forb","native","no appendage","none","adhesive","adhesive",3.3295,3.3295,187.3603258,0.507452374182542,0.0184077338640887,12.7,0.042072141,1.7415627,0.9837835,41.7821424391688,1,0.0096,0.0174,0.027,0.0274450628619,0.759067619562851,6,6,0,NA,NA,1,0.2701,NA,NA,NA
"keep","Cryptantha nevadensis var. rigida","CBG-24470","CBG","CBG","Cryptantha nevadensis var. rigida","CRYNEVR","CRYNEV","Boraginaceae","forb","native","no appendage","none","adhesive","adhesive",4.7668,4.7668,256.0692155,0.422706852431049,0.0328859823713392,20,0.03914864,1.9321153,1.12115866,40.0294394568479,1,0.0196,0.0312,0.0508,0.0453102685751899,0.846477277941599,6,6,0,NA,NA,1,0.0632,NA,NA,NA
"keep","Cryptantha pterocarya","CBG-21041","CBG","CBG","Cryptantha pterocarya","CRYPTE","CRYPTE","Boraginaceae","forb","native","flat appendage","wing","adhesive","adhesive",3.8336,3.8336,231.71888124,0.503879686137751,0.0317727404824179,25,0.050195353,2.06505905,0.96162619,49.1120824705167,1,0.014,0.0346,0.0486,0.0505393889074506,0.471853524908917,6,6,0,NA,NA,1,0.1846,NA,NA,NA
"keep","Cucurbita palmata","CBG-25902","CBG","CBG","Cucurbita palmata","CUCPAL","CUCPAL","Cucurbitaceae","forb","native","no appendage","none","animal","animal",751.6,751.6,336.26668146,0.522872019731433,0.0262428062482872,7.5,0.086865351,9.9596993,2.7696607,44.8079376156991,1,0.532,0,0.532,0.192081289957286,5.85756624700119,6,6,1,NA,NA,0,0.0363,0.28,NA,NA
"keep","Cynosurus echinatus","SFREC-15","SFREC","SFREC","Cynosurus echinatus","CYNECH","CYNECH","Poaceae","grass","invasive","elongated appendage","awn","human","adhesive",18.17,16.47,221.81932818,0.431115044247788,0.0295246523388116,41.8125,0.181798295,15.217623,1.4535179,38.153727632621,0.273869656516294,0,0,0.0068,0.00467830495929909,0.805607046324276,7,6,0,0,1,1,0.4843,NA,NA,NA
