ID,use.,dispersule,seeds.per.disp,morphological.unit,chemical.unit,Species,species.alt,code,accept.code,family,group,nat.inv,year,germ.perc,dorm.perc,seed.mass.1000,tot.wgt.g,n.seeds,lat,long,ele.m,Location.Notes,orig.acc,site,type,mega.comp,microbe.rob,notes,AI
CBG-21247,both,,1,seed,seed,Streptanthus polygaloides,,STRPOL,STPO2,Brassicaceae,forb,native,2003,84,NA,NA,0.287597765,1300,37.86489,-120.44448,372,,21247,CBG,wild,,,,0.3346
SD-22,both,,1,achene,achene,Stylocline micropoides,,STYMIC,STMI2,Asteraceae,forb,native,2015,NA,NA,NA,0.13,NA,32.22343277,-111.0102093,725,collection location estimate (tumamoc hill),,SD,wild,,,,0.1157
CBG-22608,both,y,1,silicle,seed,Thysanocarpus curvipes,,THYCUR,THCU,Brassicaceae,forb,native,1996,90,NA,NA,0.105419872,62,34.10134,-118.6958,212,,22608,CBG,wild,,,,0.2016
CBG-22609,both,y,1,silicle,seed,Thysanocarpus curvipes,,THYCUR,THCU,Brassicaceae,forb,native,2002,84.2,NA,NA,0.016657143,11,34.10134,-118.6958,212,,22609,CBG,wild,,,,0.2016
MCL-EE-49,,,,silicle,seed,Thysanocarpus curvipes,,THYCUR,THCU,Brassicaceae,forb,native,2019,NA,NA,NA,NA,NA,38.87078,-122.42722,672,,,MCL-EE,wild,,,elise only has 3 maternal families; cabinet,0.5647
MCL-ML-24,both,,,,,Thysanocarpus curvipes,,THYCUR,THCU,Brassicaceae,forb,native,2021,NA,NA,NA,NA,NA,38.87150375,-122.4277193,NA,bottom of hill S water,,MCL-ML,wild,,,,0.5647
CBG-24132,both,,1,seed,seed,Tidestromia suffruticosa var. oblongifolia,,TIDSUFO,TISUO,Amaranthaceae,forb,native,2015,88,NA,NA,0.19334,422.7,33.55202,-115.8058,404,,24132,CBG,wild,,,,0.0392
CBG-19959,both,y,1,achene + pappus,achene,Trichoptilium incisum,,TRIINC,TRIN2,Asteraceae,forb,native,1998,32,NA,NA,0.3288,505.9,33.60372,-115.92266,240,,19959,CBG,wild,,,,0.0325
CBG-24960,both,,1,nutlet,nutlet,Trichostema austromontanum ssp. austromontanum,,TRIAUSA,TRAUA2,Lamiaceae,forb,native,2017,60,NA,NA,0.1475,468.3,34.30043,-117.2254,1530,,24960,CBG,wild,,,,0.4158
CBG-21779,both,,1,nutlet,nutlet,Trichostema lanceolatum,,TRILAN,TRLA4,Lamiaceae,forb,native,2005,10.2,NA,NA,0.509721078,600,34.02686,-117.32765,279,,21779,CBG,wild,,,,0.1444
MCL-EE-50,both,,2-Jan,seed,seed,Trifolium albopurpureum,,TRIALB,TRAL5,Fabaceae,forb,native,2016,NA,NA,NA,0.152,68,38.87149122,-122.4275575,657,location estimate,,MCL-EE,wild,,,check notes on bag for location estimate,0.5647
CP-21,both,,1,seed,seed,Trifolium depauperatum,,TRIDEP,TRDE,Fabaceae,forb,native,2020,NA,NA,NA,0.2429,NA,35.13267495,-119.7457026,NA,,,CP,wild,,,,0.1893
MCL-EE-71,,,,,,Trifolium fucatum,,TRIFUC,TRFU,Fabaceae,forb,native,NA,NA,NA,NA,NA,NA,38.86973,-122.42798,NA,,,MCL-EE,wild,,,,0.5647
MCL-ML-41,both,,4-Feb,seed,seed,Trifolium fucatum,,TRIFUC,TRFU,Fabaceae,forb,native,2015,NA,NA,NA,2.6665,NA,38.87018887,-122.4280029,664,location estimate,,MCL-ML,wild,,,,0.5647
CP-9,both,,2-Jan,seed,seed,Trifolium gracilentum,,TRIGRA,TRGR2,Fabaceae,forb,native,2020,NA,NA,NA,0.99,NA,35.13267495,-119.7457026,NA,,,CP,wild,,,,0.1893
MCL-EE-52,,,,,,Trifolium gracilentum,,TRIGRA,TRGR2,Fabaceae,forb,native,2016,NA,NA,NA,NA,NA,38.87248,-122.42748,NA,East of Line 5 Top of Hill,,MCL-EE,wild,,,,0.5647
MCL-EE-53,,,,,,Trifolium hirtum,,TRIHIR,TRHI4,Fabaceae,forb,invasive,2017,NA,NA,NA,NA,NA,NA,NA,NA,,,MCL-EE,wild,,,have another acc,NA
SFREC-12,both,y,1,flower,seed,Trifolium hirtum,,TRIHIR,TRHI4,Fabaceae,forb,invasive,2021,NA,NA,NA,0.6968,NA,39.3016394,-121.2929935,384,,,SFREC,wild,,,,0.54
SS-43,,,,,,Trifolium hirtum,,TRIHIR,TRHI4,Fabaceae,forb,invasive,2020,94,NA,NA,NA,NA,34.31451204,-118.9662452,250,Rancho de los flores; cultivation site,,SS,cultivated,x,,"seed is coated, avoid using",0.2358
CBG-22398,both,,2-Jan,seed,seed,Trifolium microcephalum,,TRIMIC,TRMI4,Fabaceae,forb,native,1998,14.3,NA,NA,0.163633947,196,34.12841,-118.85673,323,,22398,CBG,wild,,,,0.2197
CBG-22397,,,,seed,seed,Trifolium willdenovii,Trifolium tridentatum,TRIWIL,TRWI3,Fabaceae,forb,native,1998,NA,NA,NA,0.018542636,13,34.13948,-118.85686,290,,22397,CBG,wild,,,,0.219
MCL-EE-72,,,,,,Trifolium willdenovii,,TRIWIL,TRWI3,Fabaceae,forb,native,NA,NA,NA,NA,NA,NA,38.87248,-122.42748,NA,,,MCL-EE,wild,,,,0.5647
MCL-ML-42,morph,,2-Jan,seed,seed,Trifolium willdenovii,Trifolium tridentatum,TRIWIL,TRWI3,Fabaceae,forb,native,2011,NA,NA,NA,3.02,NA,38.86398651,-122.4050322,655,location estimate,,MCL-ML,wild,,,,0.5527
SS-44,chem,,2-Jan,seed,seed,Trifolium willdenovii,Trifolium tridentatum,TRIWIL,TRWI3,Fabaceae,forb,native,2020,86,NA,NA,NA,NA,34.31451204,-118.9662452,250,Rancho de los flores; cultivation site,,SS,cultivated,x,,,0.2358
