"Species","new.code","family","group","nat.inv","appendage.type","appendage","disp.cat.all","disp.cat.nat","site","morph.mass.mg","chem.mass.mg","set.time.mpsec","prop.C","prop.N","height.cm","shape","size.mm","coat.perm.perc","E.S","coat.thick","fruit.thick","both.thick","coat.thick.per.width","wing.loading","ldd.all","ldd.natural","mucilage","fleshy.end","starchy.end","smooth.coarse","AI","oil.prop.kew","prot.prop.kew","carb.prop.kew"
"Calandrinia menziesii","CALMEN","Montiaceae","forb","native","no appendage","none","human","animal","MCL",3.3303,3.3303,155.10437074,0.478072449318711,0.0325623130608176,8.44845238,0.031736611,1.56430445,66.1751546153681,2.50865580675762,0.0136,0,0.0136,0.0154219499366084,0.702219948293519,7,6,0,0,1,0,0.5486,NA,NA,NA
"Calycadenia multiglandulosa","CALMUL","Asteraceae","forb","native","elongated appendage","pappus","adhesive","adhesive","SFREC",9.4704,9.4704,233.23818546,0.507694085706113,0.0455950887817901,12.975,0.0826992525,2.71426745,60.6450701010434,1,0,0.06371,0.06371,0.0604825740322263,0.997310269326957,6,6,0.5,NA,NA,0,0.6072,NA,NA,NA
"Calycadenia pauciflora","CALPAU","Asteraceae","forb","native","no appendage","none","wind","wind","MCL",9.496,9.496,126.42160496,0.452674212946587,0.0278705341351256,30,0.068273922,3.1020199,64.4523153882803,1,0.0098,0.0514,0.0612,0.0442639619167916,0.796371738410736,5,5,0,NA,NA,0,0.5647,NA,NA,NA
"Calyptridium monandrum","CALMON","Montiaceae","forb","native","no appendage","none","unassisted","unassisted","CBG",0.9723,0.9723,125.75855656,0.442879161528977,0.0249599260172626,9.75,0.001331946,0.68687585,1.9527731273135,2.65876258894462,0.0142,0,0.0142,0.0224081371710014,0.754290495570485,1,1,0,1,1,0,0.1911,NA,NA,NA
"Camissonia campestris","CAMCAM","Onagraceae","forb","native","no appendage","none","unassisted","unassisted","CP",0.5845,0.5845,134.78113238,0.510852917876947,0.0370266701874835,15,0.056121005,0.87299701,2.25875256143366,1,0.016,0,0.016,0.036842355039782,0.548746467790807,1,1,0,NA,NA,0,0.2142,NA,NA,NA
"Camissoniopsis ignota","CAMIGN","Onagraceae","forb","native","no appendage","none","unassisted","unassisted","CBG",0.9753,0.9753,137.55314534,0.505997171145686,0.0338613861386139,55,0.054648543,1.0812756,10.9685691504487,1,0.0196,0,0.0196,0.0359587336838393,0.575618833034772,2,2,0,NA,NA,0,0.1294,NA,NA,NA
"Camissoniopsis pallida","CAMPAL","Onagraceae","forb","native","no appendage","none","unassisted","unassisted","CBG/SS",1.046,1.046,145.52770656,0.469172710179962,0.0276121407467096,60,0.056860143,1.1388845,30.7036315342996,1,0.0126,0,0.0126,0.0223882562153264,0.570040543724944,2,2,0,NA,NA,0,0.16965,NA,NA,NA
"Capsella bursa-pastoris","CAPBUR","Brassicaceae","forb","invasive","no appendage","none","other insect","other insect","CP",0.8768,0.8768,165.27935254,0.538307329997056,0.0423138062996762,18.41363636,0.041062951,0.97935202,59.7735910356954,0.972067646459588,0.0068,0,0.0068,0.0121784445149799,0.521108297501393,3,3,1,1,0,0,0.1893,0.31,0.28,0.41
"Capsella bursa-pastoris","CAPBUR","Brassicaceae","forb","invasive","no appendage","none","other insect","other insect","SAC",1.1644,1.1644,160.64642052,0.534139864266745,0.0384715255237533,18.41363636,0.043275953,1.09457,87.2568945071125,0.977642472200668,0.0072,0,0.0072,0.0117735341091547,0.580855957400172,3,3,1,1,0,0,0.2569,0.31,0.28,0.41
"Carduus pycnocephalus","CARPYC","Asteraceae","forb","invasive","nutrient-containing appendage","elaiosome","wind","wind","SFREC",68.99,68.99,271.86181726,0.606386870458532,0.0279027812578301,43.0083333333333,0.101609495,5.3709261,56.4752795903404,1,0,0.0922,0.0922,0.059107376049204,2.4700625129536,5,5,1,0,0,0,0.4725,NA,NA,NA
